subrecipient,county,records
Hyde (County),Hyde,20
Dare (County),Dare,16
Onslow (County),Onslow,13
Pender (County),Pender,13
New Hanover County,New Hanover,7
Brunswick (County),Brunswick,6
County of Hyde,Hyde,6
Carteret (County),Carteret,6
UNIVERSTIY OF NORTH CAROLINA - WILMINGTON,New Hanover,5
DARE COUNTY,Dare,5
New Hanover (County),New Hanover,5
Currituck (County),Currituck,4
Pender County Planning and Community Development,Pender,4
PENDER COUNTY,Pender,4
Carteret County,Carteret,4
Beaufort (Township of),Carteret,4
Dare County Grants & Waterways,Dare,3
SWANSBOBO,Onslow,2
Manteo,Dare,2
Town of Wrightsville Beach Planning Department,New Hanover,2
Currituck County,Currituck,2
Pender County,Pender,2
Brunswick County,Brunswick,2
Leland,Brunswick,2
Hyde County,Hyde,2
HYDE COUNTY,Hyde,2
CARTERET COUNTY,Carteret,2
Jacksonville,Onslow,1
ONSLOW COUNTY,Onslow,1
JACKSONVILLE,Onslow,1
Jacksonville (Township of),Onslow,1
North Carolina Department of Crime Control and Public Safety,New Hanover,1
University of North Carolina Wilmington,New Hanover,1
Dare County,Dare,1
Town of Carolina Shores,Brunswick,1
Town of Leland,Brunswick,1
City of Boiling Spring Lakes,Brunswick,1
YAUPON BEACH,Brunswick,1
Brunswick County Planning and Community Development,Brunswick,1
Village of Bald Head Island Development Services,Brunswick,1
Town of Shallotte,Brunswick,1
NORTH WEST,Brunswick,1
TOWN OF CAROLINA SHORES,Brunswick,1
Burgaw,Pender,1
Navassa,Brunswick,1
Southport,Brunswick,1
Town of Morehead City,Carteret,1
Newport,Carteret,1
MOREHEAD CITY,Carteret,1
County of Carteret,Carteret,1
